scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
Edelweiss Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,5,0.7,258.0,8,1.53,2.41,0.79,4.4,12.1,9.0,500
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,Other,FoFs Overseas,6,0,1.5,83.0,9,0.93,-,-,9.2,25.2,7.6,500
Edelweiss Flexi Cap Fund,Equity,Flexi Cap Funds,6,3,0.56,1056.0,8,1.46,1.91,0.92,1.9,27.5,12.1,500
Edelweiss Govt Securities Fund,Debt,Gilt Mutual Funds,3,5,0.66,119.0,9,0.88,1.77,0.61,4.3,6.8,8.2,500
Edelweiss Greater China Equity Off-Shore Fund,Other,FoFs Overseas,6,0,1.44,1897.0,10,0.3,-,-,-4.1,9.0,6.1,500
Edelweiss Large & Mid Cap Fund,Equity,Large & Mid Cap Funds,6,4,0.6,1711.0,10,1.47,2.77,0.9,1.2,27.8,13.2,500
Edelweiss Large Cap Fund,Equity,Large Cap Mutual Funds,6,4,0.93,399.0,10,1.4,0.95,0.93,4.9,26.0,12.8,500
Edelweiss Liquid Fund,Debt,Liquid Mutual Funds,3,4,0.15,1543.0,10,1.08,1.47,0.8,5.6,4.4,5.4,500
Edelweiss Long Term Equity Fund,Equity,ELSS Mutual Funds,6,3,0.69,209.0,10,1.39,0.61,0.9,0.9,25.6,10.2,500
Edelweiss Mid Cap Fund,Equity,Mid Cap Mutual Funds,6,4,0.57,2530.0,10,1.73,2.21,0.96,4.9,35.5,14.0,500
Edelweiss Money Market Fund,Debt,Money Market Funds,2,1,0.26,346.0,10,1.03,2.56,1.45,4.9,4.7,7.3,500
Edelweiss Overnight Fund,Debt,Overnight Mutual Funds,1,2,0.1,480.0,4,0.01,0.63,0.47,5.3,3.9,8.9,500
Edelweiss Recently Listed IPO Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.61,859.0,5,1.09,0.04,0.83,-13.8,24.3,10.9,500
Edelweiss Small Cap Fund,Equity,Small Cap Mutual Funds,6,4,0.6,1458.0,4,1.98,8.58,0.81,3.0,42.5,8.9,500
Edelweiss US Value Equity Offshore Fund,Other,FoFs Overseas,6,0,1.43,90.0,10,1.03,-,-,2.0,23.8,11.5,500
Franklin Build India Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,1.3,1184.0,10,1.6,8.05,0.71,16.0,36.1,13.3,500
Franklin India Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,2,0.16,712.0,9,0.7,3.72,1.87,4.2,6.1,7.2,500
Franklin India Bluechip Fund,Equity,Large Cap Mutual Funds,6,2,1.01,6205.0,10,1.28,0.71,0.92,-1.0,25.1,9.7,500
Franklin India Corporate Debt Fund,Debt,Corporate Bond Mutual Funds,2,3,0.21,748.0,10,1.02,1.68,0.56,4.4,6.3,7.0,500
Franklin India Debt Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,4,3,0.57,246.0,10,1.42,1.26,0.59,5.1,9.8,7.0,500
Franklin India Dynamic Asset Allocation FoFs-Dir-G,Other,FoFs Domestic,4,3,0.46,1103.0,10,1.39,8.57,0.3,5.9,18.2,9.2,500
Franklin India Equity Advantage Fund,Equity,Large & Mid Cap Funds,6,2,1.37,2556.0,10,1.43,2.99,0.96,-0.9,27.7,9.2,500
Franklin India Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,1.2,1347.0,10,1.51,3.49,0.8,5.3,22.5,11.0,500
Franklin India Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,3,3,0.71,153.0,5,1.53,3.39,0.94,4.8,14.0,8.9,500
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,Other,FoFs Overseas,6,0,0.72,2880.0,10,0.5,-,-,-12.1,17.4,11.6,500
Franklin India Flexi Cap Fund,Equity,Flexi Cap Funds,6,4,1.1,9989.0,10,1.6,4.83,0.93,3.8,31.1,12.0,500
Franklin India Floating Rate Fund,Debt,Floater Mutual Funds,2,4,0.21,311.0,10,1.58,2.33,0.75,5.8,5.6,6.2,500
Franklin India Focused Equity Fund,Equity,Focused Funds,6,4,1.16,8022.0,10,1.43,3.6,0.98,5.1,30.9,12.9,500
Franklin India G-Sec Fund,Debt,Gilt Mutual Funds,3,2,0.57,121.0,10,0.04,-0.49,0.52,3.5,4.1,6.3,500
Franklin India Liquid Fund,Debt,Liquid Mutual Funds,2,3,0.13,1511.0,10,0.9,1.34,0.74,5.6,4.3,5.4,500
Franklin India Multi-Asset Solution Fund,Other,FoFs Domestic,4,1,0.44,45.0,8,0.39,5.14,-0.01,4.1,8.7,5.3,500
Franklin India NSE Nifty 50 Index Fund,Other,Index Funds,6,3,0.24,482.0,10,1.3,-0.79,0.99,0.9,25.6,11.6,500
Franklin India Opportunities Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.79,657.0,10,1.58,4.7,0.92,7.9,31.0,11.5,500
Franklin India Overnight Fund,Debt,Overnight Mutual Funds,1,2,0.1,152.0,4,-0.18,0.49,0.41,5.3,3.8,8.9,500
Franklin India Prima Fund,Equity,Mid Cap Mutual Funds,6,2,1.06,7359.0,10,1.36,-4.41,0.96,4.5,26.6,10.0,500
Franklin India Savings Fund,Debt,Money Market Funds,2,3,0.1,1084.0,10,1.5,2.67,1.29,5.3,5.2,6.1,500
Franklin India Smaller Companies Fund,Equity,Small Cap Mutual Funds,6,2,1.03,7308.0,10,1.91,7.03,0.81,10.5,38.8,11.2,500
Franklin India Taxshield – Direct Growth,Equity,ELSS Mutual Funds,6,3,1.12,4584.0,10,1.49,2.88,0.95,4.9,29.3,11.4,500
Franklin India Technology Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.22,712.0,10,1.24,3.66,0.73,-11.9,29.9,15.9,500
HDFC Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,2,0.43,5886.0,9,0.82,1.24,0.5,5.6,4.5,5.2,100
HDFC Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,4,0.88,51042.0,10,1.6,7.38,0.88,14.4,29.3,12.9,100
HDFC Banking and PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,4,0.39,4805.0,9,0.98,3.4,1.06,4.3,6.8,7.2,100
HDFC Capital Builder Value Fund,Equity,Value Funds,6,2,1.04,5227.0,10,1.53,3.69,0.95,-0.7,33.7,11.3,100
HDFC Children’s Gift Fund,Solution Oriented,Childrens Funds,6,0,0.96,6157.0,10,1.87,7.62,0.76,10.5,26.8,12.9,100
HDFC Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,3,3,0.32,23486.0,10,0.99,1.91,0.94,4.1,6.9,7.3,100
HDFC Credit Risk Debt Fund,Debt,Credit Risk Funds,4,3,0.95,8437.0,9,1.3,2.63,-0.52,4.6,8.0,7.7,100
HDFC Dynamic Debt Fund,Debt,Dynamic Bond,3,4,0.49,527.0,10,0.79,2.71,0.55,4.6,7.3,6.1,100
HDFC Dynamic PE Ratio Fund,Other,FoFs Domestic,5,4,0.22,30.0,10,1.8,6.38,0.6,8.6,21.9,11.1,100
HDFC Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,4,1.1,2524.0,10,1.61,4.42,0.98,5.1,16.0,8.8,100
HDFC Flexi Cap Fund,Equity,Flexi Cap Funds,6,4,1.0,31672.0,10,1.56,5.15,1,12.4,34.5,14.0,100
HDFC Floating Rate Debt Fund,Debt,Floater Mutual Funds,3,4,0.26,14785.0,10,1.76,3.39,0.9,5.6,6.5,6.9,100
HDFC Focused 30 Fund,Equity,Focused Funds,6,3,0.54,3609.0,10,1.71,7.78,0.92,16.0,35.8,11.9,100
HDFC Gilt Fund,Debt,Gilt Mutual Funds,3,2,0.46,1739.0,10,0.34,0.23,0.64,3.6,4.9,6.4,100
HDFC Gold Fund,Other,FoFs Domestic,5,5,0.18,1402.0,10,0.47,-0.5,1.01,14.2,12.3,13.4,100
HDFC Housing Opportunities Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.28,1081.0,5,1.23,0.23,1,9.8,27.1,7.9,100
HDFC Hybrid Debt Fund,Hybrid,Conservative Hybrid Mutual Funds,4,3,1.33,2695.0,10,1.74,3.73,0.69,6.0,13.3,8.4,100
HDFC Hybrid Equity Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,1.09,18729.0,10,1.6,4.86,0.87,7.7,25.6,11.3,100
HDFC Income Fund,Debt,Medium to Long Duration Funds,3,3,0.51,528.0,10,0.34,0.51,1.28,3.8,5.2,6.1,100
HDFC Index Fund,Other,Index Funds,6,4,0.2,4210.0,10,1.31,-0.64,1,2.4,25.8,12.8,100
HDFC Index Fund,Other,Index Funds,6,3,0.2,7457.0,10,1.28,-1.01,1.01,0.9,26.0,12.0,100
HDFC Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,1,1.75,593.0,10,1.3,2.65,0.88,16.5,34.3,5.3,100
HDFC Large and Mid Cap Fund,Equity,Large & Mid Cap Funds,6,3,1.03,7897.0,10,1.55,4.97,0.98,6.3,33.3,12.8,100
HDFC Liquid Fund,Debt,Liquid Mutual Funds,2,2,0.2,49008.0,10,0.79,1.34,0.78,5.6,4.3,5.3,300
HDFC Low Duration Fund,Debt,Low Duration Funds,2,4,0.43,14779.0,10,1.73,2.82,0.67,5.4,6.2,6.7,100
HDFC Medium Term Debt Fund,Debt,Medium Duration Funds,4,3,0.58,3538.0,10,1.01,2.14,0.78,4.1,6.9,7.4,100
HDFC Mid-Cap Opportunities Fund,Equity,Mid Cap Mutual Funds,6,3,0.95,35009.0,10,1.77,2.45,0.93,11.9,34.2,13.1,100
HDFC Money Market Fund,Debt,Money Market Funds,3,3,0.21,15176.0,10,1.89,3.08,1.33,5.6,5.6,6.3,100
HDFC Multi-Asset Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,4,0.88,1643.0,10,1.6,5.06,0.72,6.9,23.0,10.9,100
HDFC Overnight Fund,Debt,Overnight Mutual Funds,1,2,0.1,20146.0,10,-0.09,0.53,0.42,5.3,3.8,4.6,300
HDFC Retirement Savings Fund,Solution Oriented,Retirement Funds,6,5,0.78,2696.0,7,1.92,9.26,0.85,11.6,34.9,14.8,100
HDFC Retirement Savings Fund,Solution Oriented,Retirement Funds,6,4,1.03,932.0,7,1.88,3.03,0.43,8.0,24.5,12.3,100
HDFC Retirement Savings Fund,Solution Oriented,Retirement Funds,4,4,1.0,140.0,7,1.74,6.37,0.73,6.0,10.3,7.8,100
HDFC Short Term Debt Fund,Debt,Short Duration Funds,3,3,0.29,11028.0,10,1.23,4.24,1.45,4.7,7.0,7.3,100
HDFC Small Cap Fund,Equity,Small Cap Mutual Funds,6,3,0.8,14648.0,10,1.88,6.54,0.91,12.5,43.5,13.5,100
HDFC Tax Saver Fund,Equity,ELSS Mutual Funds,6,2,1.15,9723.0,10,1.64,4.47,0.88,10.0,31.0,10.3,500
HDFC Top 100 Fund,Equity,Large Cap Mutual Funds,6,2,1.11,22139.0,10,1.39,1.75,0.97,6.6,28.6,11.9,100
HDFC Ultra Short Term Fund,Debt,Ultra Short Duration Funds,3,4,0.34,13303.0,5,1.93,2.7,1.1,5.4,5.5,8.9,100
HSBC Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,2,0.87,4636.0,10,1.26,0.57,0.81,-1.2,19.5,8.1,500
HSBC Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,4,0.29,2344.0,9,1.12,1.63,0.63,5.4,4.7,5.5,500
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,Other,FoFs Overseas,6,0,1.29,8.4,9,0.48,-,-,-4.2,13.6,5.7,500
HSBC Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,3,0.78,1511.0,10,1.27,0.89,0.45,3.5,13.4,8.0,500
HSBC Banking and PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,1,0.23,3779.0,10,0.47,5.62,3.36,2.2,6.0,6.5,500
HSBC Business Cycles Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.42,535.0,9,1.46,2.69,0.97,7.0,28.0,8.7,500
HSBC Conservative Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,4,3,1.34,122.0,10,1.28,0.76,0.74,2.3,10.3,7.5,500
HSBC Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,2,0.35,157.0,2,0.39,0.67,1.09,1.7,32.4,13.3,500
HSBC Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,3,1,0.29,6772.0,10,0.47,1.19,1.68,3.3,6.6,7.6,500
HSBC Credit Risk Fund,Debt,Credit Risk Funds,4,3,0.85,130.0,10,0.35,-1.87,-2.39,4.8,5.7,5.1,500
HSBC Dynamic Bond Fund,Debt,Dynamic Bond,3,3,0.29,200.0,10,0.39,0.67,1.09,4.7,5.4,6.8,500
HSBC ELSS Fund,Equity,ELSS Mutual Funds,6,1,1.16,3007.0,10,1.33,-0.03,0.91,-1.2,24.1,8.0,500
HSBC Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,1.0,474.0,4,1.26,0.57,0.81,1.7,32.4,13.3,500
HSBC Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,3,2,0.62,150.0,10,1.86,5.57,0.85,2.9,15.5,7.5,500
HSBC Flexi Cap Fund,Equity,Flexi Cap Funds,6,2,1.23,3097.0,10,1.38,0.36,0.94,-1.2,26.4,9.2,500
HSBC Flexi Debt Fund,Debt,Dynamic Bond,3,2,0.94,54.0,10,0.39,0.67,1.09,1.7,32.4,13.3,500
HSBC Gilt Fund,Debt,Gilt Mutual Funds,3,3,0.48,231.0,10,0.41,0.51,0.64,5.0,5.4,7.1,500
HSBC Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.14,1476.0,10,1.78,10.03,0.6,11.3,33.6,9.3,500
HSBC Large & Mid Cap Fund,Equity,Large & Mid Cap Funds,6,2,1.08,1992.0,4,1.4,1.39,0.91,-0.6,25.6,8.9,500
HSBC Large Cap Fund,Equity,Large Cap Mutual Funds,6,2,1.26,1405.0,10,1.18,-2.34,0.97,0.0,23.3,10.6,500
HSBC Liquid Fund,Debt,Liquid Mutual Funds,2,3,0.12,12043.0,10,0.91,1.38,0.77,5.7,4.3,5.3,500
HSBC Low Duration Fund,Debt,Low Duration Funds,2,3,0.25,467.0,10,0.58,0.3,-0.78,5.2,5.6,5.8,500
HSBC Managed Solutions Conservative Fund,Other,FoFs Domestic,3,2,0.54,34.0,9,0.55,-1.07,0.49,3.2,6.7,5.9,500
HSBC Managed Solutions Growth Fund,Other,FoFs Domestic,6,2,1.06,34.0,9,1.4,1.87,0.9,0.6,22.2,9.2,500
HSBC Managed Solutions Moderate Fund,Other,FoFs Domestic,5,2,0.76,58.0,9,1.31,0.67,0.74,1.2,19.0,8.7,500
HSBC Medium Duration Fund,Debt,Medium Duration Funds,3,3,0.4,643.0,8,0.76,1.93,0.67,4.2,7.0,6.7,500
HSBC Medium to Long Duration Fund,Debt,Medium to Long Duration Funds,3,1,0.68,41.0,10,0.09,-0.16,1.54,2.7,4.5,6.5,500
HSBC Midcap Fund,Equity,Mid Cap Mutual Funds,6,2,0.74,6980.0,10,1.53,-1.16,0.8,2.3,26.1,8.8,500
HSBC Money Market Fund,Debt,Money Market Funds,2,1,0.25,716.0,10,1.12,2.43,1.31,5.2,4.9,6.0,500
HSBC Overnight Fund,Debt,Overnight Mutual Funds,1,5,0.1,2759.0,4,0.16,0.65,0.44,5.4,3.9,8.9,500
HSBC Short Duration Fund,Debt,Short Duration Funds,2,2,0.27,3592.0,10,0.78,4.85,2.63,3.8,6.0,6.7,500
HSBC Small Cap Fund,Equity,Small Cap Mutual Funds,6,3,0.77,8625.0,9,2.08,9.87,0.82,5.1,44.7,12.7,500
HSBC Tax Saver Equity Fund,Equity,ELSS Mutual Funds,6,2,1.3,175.0,10,1.26,-1.65,0.96,-2.2,24.7,8.9,500
HSBC Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,2,3,0.22,2279.0,3,1.69,2.48,1.17,5.5,5.1,8.9,500
HSBC Value Fund,Equity,Value Funds,6,3,0.84,7781.0,10,1.69,6.92,0.96,6.8,33.0,11.6,500
ICICI Pru All Seasons Bond Fund,Debt,Dynamic Bond,3,5,0.62,6754.0,10,1.38,2.84,0.98,6.5,7.5,8.2,100
ICICI Pru Asset Allocator Fund,Other,FoFs Domestic,4,4,0.18,18393.0,10,1.99,7.45,0.53,8.8,21.6,12.8,1000
ICICI Pru Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5,4,0.91,44515.0,10,1.84,5.34,0.54,6.7,19.7,10.4,100
ICICI Pru Banking & Financial Services – DirectGrowth,Equity,Sectoral / Thematic Mutual Funds,6,3,1.1,5871.0,10,1.06,3.74,0.87,7.0,24.9,9.7,100
ICICI Pru Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,5,0.38,7265.0,10,1.37,4.03,1.21,5.8,6.9,7.2,100
ICICI Pru BHARAT 22 FOF  – Direct Growth,Other,FoFs Domestic,6,5,0.08,89.0,5,1.47,9.68,0.88,22.1,35.0,8.9,1000
ICICI Pru Bharat Consumption Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,1.54,1866.0,4,1.6,4.95,0.6,10.2,22.7,8.9,100
ICICI Pru Bluechip Fund,Equity,Large Cap Mutual Funds,6,4,1.06,34198.0,10,1.53,3.05,0.9,4.4,28.2,12.3,100
ICICI Pru Bond Fund,Debt,Medium to Long Duration Funds,3,3,0.6,2223.0,10,0.72,1.58,1.26,5.2,6.9,7.3,100
ICICI Pru Child Care Fund,Solution Oriented,Childrens Funds,6,3,1.69,844.0,10,1.42,2.18,0.74,1.0,19.8,8.8,100
ICICI Pru Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,5,0.3,16998.0,10,1.52,2.35,0.68,5.8,7.0,7.3,100
ICICI Pru Credit Risk Fund,Debt,Credit Risk Funds,4,4,0.86,7584.0,10,2.15,3.97,0.42,5.8,8.0,8.1,100
ICICI Pru Debt Management Fund,Other,FoFs Domestic,3,4,0.41,141.0,10,1.38,2.07,0.53,5.8,6.7,7.0,100
ICICI Pru Dividend Yield Equity Fund,Equity,Dividend Yield Funds,6,0,0.66,1258.0,9,1.94,10.39,0.83,8.5,37.6,12.1,100
ICICI Pru Equity & Debt Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,5,1.2,21232.0,10,1.75,9.56,0.84,6.8,30.6,14.3,100
ICICI Pru Equity – Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,3,0.39,11272.0,10,0.99,1.59,0.63,5.6,4.8,5.5,1000
ICICI Pru Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,2,3,0.54,4936.0,8,1.84,4.82,0.57,6.2,12.7,7.9,100
ICICI Pru Exports and Services Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.76,1040.0,10,1.78,6.7,0.78,5.7,30.7,11.4,1000
ICICI Pru Floating Interest Fund,Debt,Floater Mutual Funds,2,2,0.62,11650.0,10,1.46,3.22,0.47,6.3,7.0,7.2,100
ICICI Pru FMCG Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.44,1156.0,10,1.61,7.44,0.47,21.1,24.5,13.5,100
ICICI Pru Focused Equity Fund,Equity,Focused Funds,6,4,0.59,3920.0,10,1.62,4.86,0.89,6.1,31.2,13.4,100
ICICI Pru Gilt Fund,Debt,Gilt Mutual Funds,3,5,0.56,2692.0,10,0.82,1.87,0.69,6.3,6.7,8.4,1000
ICICI Pru Global Stable Equity Fund,Other,FoFs Overseas,6,0,1.26,111.0,10,0.9,-,-,3.4,18.0,10.3,1000
ICICI Pru Income Optimizer Fund,Other,FoFs Domestic,3,5,0.26,272.0,10,2.37,5.75,0.47,7.8,13.3,8.8,1000
ICICI Pru India Equity FOF – Direct Growth,Other,FoFs Domestic,6,5,0.88,62.0,3,1.71,6.83,0.84,4.9,32.2,8.9,100
ICICI Pru India Opportunities Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.73,7644.0,4,1.67,9.93,0.99,11.7,44.7,8.9,100
ICICI Pru Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,5,1.64,2269.0,10,1.83,11.76,0.78,24.3,44.0,15.1,100
ICICI Pru Large & Mid Cap Fund,Equity,Large & Mid Cap Funds,6,4,1.09,7044.0,10,1.68,7.49,0.92,9.5,33.2,13.7,100
ICICI Pru Liquid Fund,Debt,Liquid Mutual Funds,3,2,0.2,47245.0,10,0.94,1.39,0.78,5.6,4.3,5.3,99
ICICI Pru Long Term Equity Fund,Equity,ELSS Mutual Funds,6,3,1.23,9819.0,10,0.04,6.9,5.04,-0.2,27.1,11.5,500
ICICI Pru Long Term Wealth Enhancement Fund,Equity,ELSS Mutual Funds,6,0,0.97,32.0,5,1.39,0.78,0.95,-0.7,33.7,11.3,0
ICICI Pru Manufacturing Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.7,645.0,4,1.71,7.67,0.94,8.6,35.6,8.9,100
ICICI Pru Medium Term Bond Fund,Debt,Medium Duration Funds,4,4,0.77,6305.0,10,1.29,2.74,0.69,5.6,7.7,7.6,1000
ICICI Pru MidCap Fund,Equity,Mid Cap Mutual Funds,6,3,1.16,3492.0,10,1.62,0.33,0.96,3.9,32.9,11.1,100
ICICI Pru Money Market Fund,Debt,Money Market Funds,3,3,0.21,11475.0,10,1.72,2.82,1.25,5.5,5.4,6.1,100
ICICI Pru Multi-Asset Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,4,1.15,16449.0,10,1.85,10.44,0.81,11.3,31.3,14.2,100
ICICI Pru Multicap Fund,Equity,Multi Cap Funds,6,0,1.02,6929.0,10,1.49,3.09,0.94,5.7,29.1,11.8,100
ICICI Pru Nifty 50 Index Fund,Other,Index Funds,6,3,0.17,3977.0,10,1.3,-0.72,1,0.9,26.1,11.9,100
ICICI Pru Nifty Next 50 Index Fund,Other,Index Funds,6,1,0.3,2415.0,10,0.97,-4.7,0.98,-6.4,22.0,6.1,100
ICICI Pru Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.1,12837.0,4,-0.05,0.54,0.42,5.4,3.9,8.9,500
ICICI Pru P.H.D Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.22,2538.0,5,1.03,3.7,0.96,-6.0,25.0,8.9,100
ICICI Pru Passive Strategy Fund,Other,FoFs Domestic,6,3,0.06,93.0,10,1.46,1.99,0.84,4.9,26.3,10.9,1000
ICICI Pru Regular Gold Savings Fund,Other,FoFs Domestic,5,3,0.09,671.0,10,0.49,-0.21,0.99,14.3,11.7,13.1,100
ICICI Pru Regular Savings Fund,Hybrid,Conservative Hybrid Mutual Funds,4,5,0.99,3212.0,10,2,3.21,0.5,5.5,11.3,9.0,100
ICICI Pru Retirement Fund,Solution Oriented,Retirement Funds,6,5,1.22,209.0,4,1.44,2.63,0.78,0.1,31.3,8.9,100
ICICI Pru Retirement Fund,Solution Oriented,Retirement Funds,6,3,1.12,152.0,4,1.26,1.02,0.64,1.7,32.4,13.3,100
ICICI Pru Retirement Fund,Solution Oriented,Retirement Funds,4,3,1.0,59.0,4,1.04,2.1,0.93,2.0,9.9,8.9,100
ICICI Pru Retirement Fund,Solution Oriented,Retirement Funds,3,3,1.29,175.0,4,1.71,8.42,0.75,4.6,6.8,8.9,100
ICICI Pru S&P BSE Sensex Index Fund,Other,Index Funds,6,4,0.16,694.0,6,1.27,-1.12,1,1.4,25.8,12.9,100
ICICI Pru Savings Fund,Debt,Low Duration Funds,2,2,0.4,21144.0,10,1.41,3,0.87,5.7,6.2,6.7,100
ICICI Pru Short Term Fund,Debt,Short Duration Funds,3,4,0.39,14561.0,10,1.75,4.86,1.42,6.4,7.5,7.7,1000
ICICI Pru Smallcap Fund,Equity,Small Cap Mutual Funds,6,3,0.81,4618.0,10,1.94,8.49,0.82,7.7,41.8,14.9,100
ICICI Pru Technology Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.99,8993.0,10,1.48,9.3,0.92,-19.7,45.3,21.6,100
ICICI Pru Thematic Advantage Fund,Other,FoFs Domestic,6,0,0.25,958.0,10,1.63,6.63,0.98,5.4,35.4,14.6,1000
ICICI Pru Ultra Short Term Fund,Debt,Ultra Short Duration Funds,3,4,0.39,12447.0,10,2.4,2.36,0.54,5.7,5.9,6.7,1000
ICICI Pru US Bluechip Equity Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.22,2365.0,10,0.88,-,-,4.8,23.4,15.9,100
ICICI Pru Value Discovery Fund,Equity,Value Funds,6,4,1.22,27449.0,10,2.04,11.82,0.8,8.9,36.9,14.9,100
IDBI Banking & Financial Services Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.5,81.0,5,0.88,-1.2,0.86,4.8,20.3,8.9,500
IDBI Credit Risk Fund,Debt,Credit Risk Funds,4,3,0.61,22.0,9,1.03,3.08,-2.49,4.3,11.3,3.7,500
IDBI Dividend Yield Fund,Equity,Dividend Yield Funds,6,0,1.5,85.0,4,1.43,1.29,0.81,0.1,25.2,8.9,500
IDBI Equity Advantage Fund,Equity,ELSS Mutual Funds,6,2,1.21,455.0,10,1.15,-1.93,0.8,-0.7,33.7,11.3,500
IDBI Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,2,1.15,9.77,10,1.11,0.39,1.05,2.5,11.8,7.2,500
IDBI Focused 30 Equity Fund,Equity,Focused Funds,6,3,1.61,125.0,5,1.29,-0.57,0.94,0.1,25.2,10.2,500
IDBI Gold Fund,Other,FoFs Domestic,5,3,0.26,42.0,10,0.42,-0.02,1,15.0,12.1,12.9,500
IDBI Healthcare Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.24,49.0,4,0.71,-3.1,0.95,-13.0,17.1,8.9,500
IDBI Hybrid Equity Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,2,1.67,171.0,6,1.18,-0.86,0.78,-1.8,17.5,7.0,500
IDBI India Top 100 Equity Fund,Equity,Large Cap Mutual Funds,6,4,1.26,599.0,10,1.36,0.51,0.93,0.5,26.0,12.4,500
IDBI Liquid Fund,Debt,Liquid Mutual Funds,2,4,0.13,763.0,10,1.19,1.43,0.75,5.6,4.4,5.4,500
IDBI Long Term Value Fund,Equity,Value Funds,6,2,1.67,92.0,5,1.36,1.21,0.94,-0.1,25.4,8.9,500
IDBI Midcap Fund,Equity,Mid Cap Mutual Funds,6,1,1.62,176.0,6,1.27,-5.96,0.97,-2.9,25.1,7.7,500
IDBI Nifty 50 Index Fund,Other,Index Funds,6,3,0.32,188.0,10,1.29,-0.9,1,0.8,25.8,11.8,500
IDBI Nifty Next 50 Index Fund,Other,Index Funds,6,1,0.32,49.0,10,0.96,-4.78,0.98,-6.1,21.8,6.2,500
IDBI Short Term Bond Fund,Debt,Short Duration Funds,2,4,0.28,29.0,10,0.92,3.82,-0.57,4.1,9.4,6.9,500
IDBI Small Cap Fund,Equity,Small Cap Mutual Funds,6,3,1.54,143.0,6,1.95,8.16,0.71,2.1,38.5,12.6,500
IDBI Ultra Short Term Fund,Debt,Ultra Short Duration Funds,2,3,0.25,198.0,10,1.29,1.14,0.15,5.4,5.1,5.9,500
IIFL Dynamic Bond Fund,Debt,Dynamic Bond,3,4,0.27,494.0,10,0.96,1.61,0.6,3.3,6.0,6.5,1000
IIFL Focused Equity Fund,Equity,Focused Funds,6,5,0.9,3416.0,8,1.56,3.78,0.91,4.7,29.2,18.1,1000
