scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
Nippon India Consumption Fund,Equity,Sectoral / Thematic Mutual Funds,6,5,1.76,312.0,10,1.76,8.77,0.76,12.1,30.6,14.6,100
Nippon India Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,3,5,0.32,1701.0,10,1.61,2.14,0.47,5.1,6.8,7.0,100
Nippon India Credit Risk Fund,Debt,Credit Risk Funds,5,2,1.0,927.0,10,1.26,6.08,0.9,4.8,9.5,4.4,100
Nippon India Dynamic Bond Fund,Debt,Dynamic Bond,3,1,0.28,3340.0,10,0.36,0.97,2,3.6,5.6,6.7,100
Nippon India Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,5,1,1.31,2764.0,10,1.62,4.96,0.83,4.2,24.3,5.9,100
Nippon India Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,2,1,0.69,178.0,8,1.41,2.71,0.89,3.9,12.2,1.3,100
Nippon India Floating Rate Fund,Debt,Floater Mutual Funds,3,3,0.27,7288.0,10,1.34,4.77,1.84,4.5,6.9,7.1,100
Nippon India Focused Equity Fund,Equity,Focused Funds,6,3,1.2,5929.0,10,1.4,2.01,1.12,3.2,33.0,11.9,100
Nippon India Gold Savings Fund,Other,FoFs Domestic,5,2,0.19,1447.0,10,0.46,-0.52,1.04,14.2,11.7,13.1,100
Nippon India Growth Fund,Equity,Mid Cap Mutual Funds,6,4,1.09,13409.0,10,1.74,2.25,0.91,5.6,32.4,14.5,100
Nippon India GSF – Direct Growth,Debt,Gilt Mutual Funds,2,3,0.63,1158.0,10,0.45,0.57,0.69,4.4,5.5,8.3,100
Nippon India Hybrid Bond Fund,Hybrid,Conservative Hybrid Mutual Funds,6,1,1.26,716.0,10,2.17,3.09,0.33,5.1,9.6,3.4,100
